iter	Passed	Remaining
0	141	141458
1	143	71581
2	145	48355
3	147	36729
4	149	29713
5	151	25085
6	153	21781
7	155	19291
8	157	17343
9	159	15753
10	160	14448
11	162	13373
12	164	12467
13	165	11683
14	167	11012
15	169	10451
16	171	9932
17	173	9462
18	174	9028
19	176	8643
20	176	8247
21	177	7889
22	178	7561
23	178	7259
24	179	6982
25	179	6725
26	180	6488
27	180	6266
28	181	6062
29	181	5875
30	182	5699
31	183	5535
32	183	5381
33	184	5235
34	184	5099
35	185	4967
36	186	4842
37	186	4726
38	187	4615
39	187	4508
40	188	4408
41	189	4312
42	189	4220
43	190	4134
44	190	4049
45	191	3971
46	192	3894
47	192	3822
48	194	3768
49	196	3725
50	197	3679
51	199	3635
52	201	3592
53	202	3550
54	204	3511
55	205	3468
56	207	3425
57	208	3385
58	210	3349
59	211	3313
60	212	3275
61	214	3241
62	215	3206
63	216	3170
64	218	3135
65	219	3102
66	220	3069
67	221	3038
68	223	3009
69	224	2979
70	225	2946
71	226	2916
72	227	2886
73	228	2860
74	229	2832
75	230	2805
76	231	2777
77	232	2751
78	233	2724
79	234	2699
80	235	2674
81	236	2651
82	237	2622
83	238	2596
84	238	2572
85	239	2547
86	240	2524
87	241	2499
88	241	2476
89	242	2452
90	243	2430
91	244	2408
92	244	2387
93	245	2365
94	246	2344
95	246	2324
96	247	2302
97	247	2281
98	248	2260
99	248	2240
100	249	2220
101	249	2200
102	250	2180
103	250	2162
104	251	2143
105	251	2125
106	252	2107
107	253	2089
108	253	2072
109	253	2054
110	254	2038
111	254	2021
112	255	2005
113	256	1989
114	256	1974
115	257	1959
116	257	1943
117	257	1928
118	258	1913
119	259	1899
120	259	1886
121	260	1872
122	260	1860
123	261	1847
124	261	1833
125	262	1821
126	263	1808
127	263	1795
128	264	1783
129	264	1771
130	265	1758
131	265	1747
132	266	1735
133	266	1724
134	267	1712
135	267	1701
136	268	1690
137	268	1679
138	269	1668
139	269	1658
140	270	1647
141	270	1635
142	271	1625
143	271	1615
144	272	1606
145	272	1596
146	273	1586
147	273	1577
148	274	1568
149	275	1560
150	275	1551
151	276	1542
152	277	1534
153	277	1525
154	278	1516
155	278	1508
156	279	1499
157	279	1491
158	280	1483
159	281	1475
160	281	1466
161	281	1458
162	282	1450
163	282	1442
164	283	1434
165	283	1426
166	284	1419
167	285	1411
168	285	1404
169	286	1397
170	286	1389
171	287	1382
172	287	1375
173	288	1368
174	288	1361
175	289	1355
176	290	1349
177	290	1342
178	291	1336
179	292	1330
180	292	1324
181	293	1318
182	293	1311
